path,game_index,team_index,team_role,game_id,game_status,game_start_time,id,full_name,display_name,short_name,location,abbr,logo,primary_color,secondary_color,conference_type,division_type,url_slug,standings_win,standings_loss,extracted_at
/games/0/teams/0/,0,0,home,257324,inprogress,2025-07-01T19:07:00.000Z,188,Toronto Blue Jays,Blue Jays,Blue Jays,Toronto,TOR,https://static.sprtactn.co/teamlogos/mlb/100/tor.png,134A8E,1D2D5C,AL,EAST,toronto-blue-jays,46,38,2025-07-01T17:07:17.815239
/games/0/teams/1/,0,1,away,257324,inprogress,2025-07-01T19:07:00.000Z,191,New York Yankees,Yankees,Yankees,New York,NYY,https://static.sprtactn.co/teamlogos/mlb/100/nyyd.png,003087,E4002B,AL,EAST,new-york-yankees,48,36,2025-07-01T17:07:17.815245
/games/1/teams/0/,1,0,home,257325,postponed,2025-07-01T22:35:00.000Z,212,Philadelphia Phillies,Phillies,Phillies,Philadelphia,PHI,https://static.sprtactn.co/teamlogos/mlb/100/phi.png,E81828,284898,NL,EAST,philadelphia-phillies,50,35,2025-07-01T17:07:17.815248
/games/1/teams/1/,1,1,away,257325,postponed,2025-07-01T22:35:00.000Z,211,San Diego Padres,Padres,Padres,San Diego,SD,https://static.sprtactn.co/teamlogos/mlb/100/sd.png,2F241D,FFC425,NL,WEST,san-diego-padres,45,39,2025-07-01T17:07:17.815250
/games/2/teams/0/,2,0,home,257326,scheduled,2025-07-01T22:40:00.000Z,207,St. Louis Cardinals,Cardinals,Cardinals,St. Louis,STL,https://static.sprtactn.co/teamlogos/mlb/100/stl.png,C41E3A,071F3D,NL,CENTRAL,st.-louis-cardinals,47,39,2025-07-01T17:07:17.815253
/games/2/teams/1/,2,1,away,257326,scheduled,2025-07-01T22:40:00.000Z,203,Pittsburgh Pirates,Pirates,Pirates,Pittsburgh,PIT,https://static.sprtactn.co/teamlogos/mlb/100/pit.png,FDB827,000000,NL,CENTRAL,pittsburgh-pirates,36,50,2025-07-01T17:07:17.815255
/games/3/teams/0/,3,0,home,257327,scheduled,2025-07-01T22:40:00.000Z,214,Miami Marlins,Marlins,Marlins,Miami,MIA,https://static.sprtactn.co/teamlogos/mlb/100/mia_n.png,FF6600,0077C8,NL,EAST,miami-marlins,37,45,2025-07-01T17:07:17.815258
/games/3/teams/1/,3,1,away,257327,scheduled,2025-07-01T22:40:00.000Z,196,Minnesota Twins,Twins,Twins,Minnesota,MIN,https://static.sprtactn.co/teamlogos/mlb/100/mind.png,002B5C,D31145,AL,CENTRAL,minnesota-twins,40,44,2025-07-01T17:07:17.815260
/games/4/teams/0/,4,0,home,257328,scheduled,2025-07-01T22:45:00.000Z,216,Washington Nationals,Nationals,Nationals,Washington,WSH,https://static.sprtactn.co/teamlogos/mlb/100/wsh.png,AB0003,11225B,NL,EAST,washington-nationals,35,49,2025-07-01T17:07:17.815262
/games/4/teams/1/,4,1,away,257328,scheduled,2025-07-01T22:45:00.000Z,195,Detroit Tigers,Tigers,Tigers,Detroit,DET,https://assets.actionnetwork.com/461059_det_n.png,0C2C56,000000,AL,CENTRAL,detroit-tigers,53,32,2025-07-01T17:07:17.815264
